,country,city_name,code,guide_type,title
151,Spain,Barcelona,27814,가이드 투어,"가우디프리미엄버스투어 #후기가보여줍니다 #성가족성당,구엘공원 대행구매+동행"
152,Spain,Barcelona,2509,가이드 투어,힐링여행/시내중심출발/매일진행/가성비갑! [몬세랏+시체스 전용차량투어]
153,Spain,Barcelona,27915,가이드 투어,[디테일 가우디+고딕지구무료야경] 최고의 스토리텔링+구엘공원무료/동반입장
154,Spain,Barcelona,6559,가이드 투어,[브랜드대상1위]몬세라트+시체스(+타라고나)/업계최초 진행+유일한 투어
155,Spain,Segovia,34188,가이드 투어, [톨레도&세고비아] #학생할인#내일예약가능#공인가이드#프라도5천원#야경1유로#톨레도노을
156,Spain,Barcelona,6249,가이드 투어,가우디 반일 프리미엄 전용버스투어ㅣ반일최다후기+최고평점ㅣ구엘공원 구매대행
157,Spain,Seville,45226,가이드 투어,세비야론다별밤투어(세비야시내투어+론다투어) #현장추가비용NO! #론다의 낮과 밤을 한번에!
158,Spain,Barcelona,9599,가이드 투어,"[투어]신년특가 떼아모 가우디 ""오전"" 반일 집중투어"
159,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
160,Spain,Barcelona,9638,티켓/교통패스,바르셀로나 : 까사밀라 우선 입장권 & 오디오 가이드 [E티켓 제시]
161,Slovenia,Bled,51208,가이드 투어,한국인 가이드 슬로베니아 알프스 투어 (블레드+벨리카 플라니나)
162,Slovenia,Bled,61763,가이드 투어,자그레브 출발! 슬로베니아 당일치기 여행 (슬로베니아)
163,Slovenia,Ljubljana,61181,가이드 투어,류블랴나 출발! 슬로베니아 일일투어 (슬로베니아/류블라나)
164,Slovenia,Bled,54272,가이드 투어," [투어] (한국어) 사랑할 수 밖에 없는 슬로베니아, 루블랴나+블레드 투어"
165,Slovenia,Bled,51085,가이드 투어,"[슬로베니아] 블레드성,율리안 알프스,보히니호수,포스토이나 동굴,류블랴나,프레디야마성"
166,Czech Republic,Praha,59699,가이드 투어,[투어] 흑기사 투어 -프라하 출발 2박3일 꽉찬 오스트리아+슬로베니아 투어! (체코/프라하)
167,Slovenia,Ljubljana,50038,가이드 투어,[투어] 한국인 가이드- 포스토이나 동굴+프레드 야마 성+피란투어 :: 슬로베니아/ 류블랴나
168,Slovenia,Bled,42654,가이드 투어,[전문 가이드투어 ] 슬로베니아 & 크로아티아  최고의 여행 [4일]
169,France,Paris,53666,여행편의,"[공항유심] -더블데이터 프로모션 - KPN유심, TDC유심, 쓰리유심 ( 수령비 무료)"
